-0.0977208900000000	-0.196141000000000	-0.293710140000000	-0.390429630000000	-0.487073430000000	-0.583641060000000	-0.678589180000000	-0.776160460000000	-0.869801290000000	-0.860728590000000	-0.817682630000000	-0.798516230000000	-0.728678520000000	-0.680764290000000
-0.0944061300000000	-0.188741010000000	-0.282232130000000	-0.374880090000000	-0.467845070000000	-0.561118200000000	-0.652782350000000	-0.746283740000000	-0.836282590000000	-0.829240390000000	-0.789093980000000	-0.773788200000000	-0.703637960000000	-0.657964910000000
-0.0907375800000000	-0.181782400000000	-0.271239240000000	-0.360625280000000	-0.449940120000000	-0.539939130000000	-0.627977000000000	-0.718207960000000	-0.804971560000000	-0.799125470000000	-0.761804800000000	-0.747220220000000	-0.679405260000000	-0.635038170000000
-0.0874779800000000	-0.174504990000000	-0.261462330000000	-0.347601000000000	-0.433670290000000	-0.519669830000000	-0.604852570000000	-0.691458170000000	-0.775009880000000	-0.770360630000000	-0.735415170000000	-0.721853140000000	-0.656293110000000	-0.612842860000000
-0.0842286400000000	-0.168021660000000	-0.251746780000000	-0.334651920000000	-0.417501190000000	-0.500652070000000	-0.582258240000000	-0.666002180000000	-0.746732140000000	-0.743284950000000	-0.710292080000000	-0.697043990000000	-0.633647490000000	-0.590815070000000
-0.0810134200000000	-0.162331680000000	-0.242474610000000	-0.322196990000000	-0.402219310000000	-0.482529140000000	-0.561324390000000	-0.641870360000000	-0.719436240000000	-0.717093700000000	-0.685704990000000	-0.673074760000000	-0.611533760000000	-0.569535650000000
-0.0781933300000000	-0.156325560000000	-0.233658840000000	-0.310939010000000	-0.387794270000000	-0.465295140000000	-0.540940430000000	-0.619041060000000	-0.693828790000000	-0.692192700000000	-0.662310900000000	-0.650251990000000	-0.590162670000000	-0.548916800000000
-0.0750360200000000	-0.150727690000000	-0.225285910000000	-0.299781500000000	-0.373858280000000	-0.448571060000000	-0.521811080000000	-0.597118980000000	-0.669523860000000	-0.668173220000000	-0.639768220000000	-0.627915440000000	-0.569495550000000	-0.528740670000000
-0.0726183800000000	-0.145180020000000	-0.217316650000000	-0.289402700000000	-0.361076020000000	-0.432676460000000	-0.503525410000000	-0.575714360000000	-0.645729280000000	-0.645070080000000	-0.618034240000000	-0.606385610000000	-0.549005100000000	-0.508932000000000
-0.0702191100000000	-0.140381250000000	-0.209777740000000	-0.279124570000000	-0.348412070000000	-0.417634690000000	-0.486102820000000	-0.555899620000000	-0.623218800000000	-0.623141600000000	-0.596813300000000	-0.585604890000000	-0.529488750000000	-0.489561120000000
-0.0674911800000000	-0.135613950000000	-0.202298410000000	-0.269277010000000	-0.336185980000000	-0.403387310000000	-0.469161900000000	-0.536578490000000	-0.601560650000000	-0.602054300000000	-0.576384860000000	-0.565049010000000	-0.510114070000000	-0.470778270000000
-0.0651369100000000	-0.130893640000000	-0.195237970000000	-0.259862970000000	-0.324435710000000	-0.389286400000000	-0.452724580000000	-0.518129110000000	-0.580794810000000	-0.581155370000000	-0.556733400000000	-0.545505560000000	-0.491426050000000	-0.452126110000000
-0.0628025100000000	-0.126214240000000	-0.188892970000000	-0.251195840000000	-0.313442520000000	-0.375951220000000	-0.437093550000000	-0.500490330000000	-0.561180350000000	-0.561385330000000	-0.537520390000000	-0.526110720000000	-0.473100730000000	-0.433836540000000
-0.0608148900000000	-0.121904040000000	-0.181946350000000	-0.242597230000000	-0.302541130000000	-0.363068440000000	-0.422251350000000	-0.483327690000000	-0.541739850000000	-0.542103780000000	-0.518809390000000	-0.507667100000000	-0.455179060000000	-0.415912670000000
-0.0588463000000000	-0.117947650000000	-0.175719380000000	-0.234080310000000	-0.292385100000000	-0.350625760000000	-0.408183000000000	-0.466963020000000	-0.523123440000000	-0.523584660000000	-0.500799210000000	-0.489405540000000	-0.437387880000000	-0.398503760000000
-0.0565711500000000	-0.113709450000000	-0.170173830000000	-0.226270000000000	-0.282301280000000	-0.338604910000000	-0.393912650000000	-0.450724550000000	-0.505298840000000	-0.505539950000000	-0.483209400000000	-0.471526550000000	-0.420184290000000	-0.381219440000000
-0.0549461200000000	-0.109827870000000	-0.164048660000000	-0.218526860000000	-0.272631450000000	-0.327003770000000	-0.380397980000000	-0.435269930000000	-0.488250870000000	-0.488226410000000	-0.465761980000000	-0.454321420000000	-0.403316510000000	-0.364245700000000
-0.0530182600000000	-0.105984480000000	-0.158590760000000	-0.210849180000000	-0.263045020000000	-0.315806380000000	-0.367293340000000	-0.420554780000000	-0.471340900000000	-0.471373530000000	-0.449006360000000	-0.437218330000000	-0.386796870000000	-0.347564490000000
-0.0511121400000000	-0.102475810000000	-0.152881660000000	-0.203546500000000	-0.254149230000000	-0.305009080000000	-0.354622770000000	-0.405969230000000	-0.455192840000000	-0.454663540000000	-0.432883620000000	-0.420529630000000	-0.370575230000000	-0.330987850000000
-0.0492241200000000	-0.0989784300000000	-0.147814240000000	-0.196590560000000	-0.245326930000000	-0.294585790000000	-0.342338690000000	-0.391796830000000	-0.439450900000000	-0.438629920000000	-0.416915370000000	-0.404413990000000	-0.354472150000000	-0.315025670000000
-0.0476506600000000	-0.0952404300000000	-0.142791660000000	-0.189716760000000	-0.236876650000000	-0.283993610000000	-0.330764810000000	-0.378351940000000	-0.424176390000000	-0.423267710000000	-0.401293760000000	-0.388408600000000	-0.338491180000000	-0.298824810000000
-0.0460780700000000	-0.0921048900000000	-0.137527800000000	-0.182897740000000	-0.228776410000000	-0.274053800000000	-0.319279510000000	-0.365008730000000	-0.409583130000000	-0.408051940000000	-0.386058490000000	-0.372746060000000	-0.322987080000000	-0.283031790000000
